Topic,Count,Name,Representation,KeyBERT,MMR,POS,Representative_Docs
28,327,28_toes_hipotesis_mmjm_entoes,"['toes', 'hipotesis', 'mmjm', 'entoes', 'nín', 'denunciar', 'jm', 'desaparecer', 'moto', 'da', 'ninir', 'to', 'eln', 'declaracion', 'vecino', 'junta', 'investigacion', 'dolor', 'ataque', 'pa', 'accion comunal', 'ciudad', 'cut', 'comunal', 'accion', 'frio', 'doler', 'contacto', 'paro armado', 'generar']","['toes', 'informacion', 'departamento quindio', 'desaparecido', 'declaracion', 'senor conocido', 'sabio pasar', 'movimiento', 'paro armado', 'desaparecer']","['toes', 'hipotesis', 'entoes', 'declaracion', 'vecino', 'investigacion', 'accion comunal', 'contacto', 'paro armado', 'generar']","['toes', 'hipotesis', 'mmjm', 'entoes', 'nín', 'moto', 'declaracion', 'vecino', 'junta', 'dolor']","['minuto lleno policia totalmente venir facilmente camión contraguerrillo gaular listo toes tomar él version papa cuento mama casa amigos vivian cerquitar plaza esperar pasar ento punto quedar él toes papar tenenar casa irse carro dar toes carro regresado pueblo amigo papa parqueo recordar persona tranporte publico pueblo com venga mundo used caliente mete ahoritar to empezamo quedar marginado pa l pueblo caliente calentar comandante policia risaraldar toes hombre esquema seguridad cosa', 'telefono mire denunciar preguntar sospecha alguien nombre ocurrir idea creer dimension corrupto infiltrado tomar denuncia amigo paramilitar persona paramilitar entender idea toes fiscalia preguntar cosa finalmente pasar tomar declaracion formal toes chistoso drama pasar oficina senor tomar dato computador nombre preguntar paso toes llamar amenaza muerte horas sospecha normal preguntar profesion toes momento senor pantalla asomar csi risa exactamente tipo empezar contar encontrar cuerpo hueso', 'marico hijueputar toes toes minuto desaparecer él toes tiro papel toes recogi papel mire cara guerrilla mate soldado alegrar cogio pistola crac crac toes hombre matar toes desaparezcase sali organizacion privada cerca organizacion privado cai cai poner policia completamente mojado tirado piscinar agua frio frio completamente mojado hora resultar llega cai toes pregunto policia mire senor acabar pasar ento policia miro querer denunciar to militar sucursal batallon cerca llamar llamar batallon']"
29,325,29_resistencia_resistir_resistencio_indigena,"['resistencia', 'resistir', 'resistencio', 'indigena', 'afrontamiento', 'indigén', 'medicina tradicional', 'resistente', 'tradicional', 'medicina', 'guardia', 'estrategia', 'raizal', 'ejercicio', 'colectivo', 'lengua', 'indigenar', 'cultura', 'movimiento', 'joven', 'sobrevivir', 'luchar', 'autoridad', 'organización', 'cultural', 'logrado', 'resguardo', 'desplazar', 'acción', 'pueblo indigena']","['resistencia', 'resistente', 'resistencio', 'resistir', 'precisamente', 'resiliencia', 'tradicional', 'comunidad indigena', 'medicina tradicional', 'poblacion']","['resistencia', 'resistir', 'resistencio', 'medicina tradicional', 'resistente', 'guardia', 'autoridad', 'cultural', 'resguardo', 'pueblo indigena']","['resistencia', 'resistencio', 'afrontamiento', 'resistente', 'tradicional', 'medicina', 'guardia', 'estrategia', 'ejercicio', 'colectivo']","['territorio posibilidad gobernar él considerar ejemplo seguir querer resistencia resistido conflicto directamente oponer conflicto vivir organizado evitar conflicto armado llegar interesante palabra companero companera ahorita respondio llegar conflicto territorio decir cocar ahorita companero resistencia resistencia pasivo resistencia manifestación resistencia oponer entrada conflicto armado presente conflicto armado indigenar grupo armado buscar ingreso economico sostener proceso sensibilizar', 'digamoslo aguantar mes resistencia subsistir mes persona resistencia lograr donar dato personal resistencia persona resistencia hacer choza sacar salir proyecto vuelto proyecto alcaldio tancar echar agua colaborar mercado mes ley horas mes mes completito cambiar grupo venio frente frente tierra metimo echar esmad sacar orden orden tierra tierra baldia luchar duramos ano pudimo venir esmad lograr resistencia escuchar eco mes perdidoscomo mes resistencia mes resistencia escuchado siento escuchado', 'ir terminar maripós resistencia traigar mariposa favor llevar resistir']"
30,257,30_cementerio_zinc_cemento_plastico,"['cementerio', 'zinc', 'cemento', 'plastico', 'techo', 'enterrar', 'cuerpo', 'piso', 'madera', 'material', 'nn', 'parque', 'bulto', 'llorar', 'tejo', 'construir', 'fós', 'basura', 'pavimentado', 'cadaver', 'robar', 'enterrado', 'asiento', 'arena', 'levantamiento', 'metro', 'puente', 'caminar', 'pie', 'camino']","['cementerio', 'cemento', 'desaparecido', 'pavimentado', 'campamento', 'informacion', 'piso', 'puente', 'pavimentar', 'levantamiento']","['cementerio', 'zinc', 'cemento', 'plastico', 'enterrar', 'piso', 'material', 'cadaver', 'enterrado', 'caminar']","['cementerio', 'zinc', 'cemento', 'plastico', 'techo', 'cuerpo', 'piso', 'madera', 'material', 'nn']","['inhumado cementerio antioquia resultar cementerio sufrio modificacion modificar cementerio perdio cuerpo cuerpo fiscalia salva responsabilidad enviar él cd imagen familia diciendol mirar cuerpo puesto pasar retroexcavadoro mover quitar modificar cuerpo muchacho desaparecido razon cuerpo aparecer caso recuerdo noticia corte modificación cementerio borrar huel él suceder particular cementerio enterrar persona condicion suspicacio ejemplo caso contar caso revisado caso muchacho desaparecido barrio', 'preguntar tecnico modificacion cementerio aprobar alcaldio autonomio ley regular tema ley decreto pauta ent territorial tipo situación persona identificado tema cementerio capitulo trabajo mundo dios terrible llegar imagen cementerio lugar podia dormir cuerpo expuesto abierto tumbos nivel deterioro agir dificilmente poder él proteger medida cautelar cementerio mayorio cementerio corregimiento municipio situacion incumplir norma cementerio ley deberiar caso urbano monton norma observir tema mmju', 'veo exhumado cementerio exhumado cementerio exhumado cementerio variante avenido nn persona asesinado farc cementerio exhumar cementerio kilometro cementerio kilometro kilometro kilometro cementerio via matar farc dejar botado carreterar comunidad recogerlo enterrar enterrar nn cementerio tarea unidad busquedar parte levantar vario informacion tarea humanitario tratar encontrar él respuesta finco finca enterrado persona mire mire hueso informacion comunidad enterrar mama hijo senoro conocido']"
31,254,31_pension_pensionar_pensionado_empresa,"['pension', 'pensionar', 'pensionado', 'empresa', 'salario', 'laboral', 'minimo', 'trabajador', 'sindicato', 'colombia', 'seguro', 'exilio', 'inf', 'salario minimo', 'convencion', 'suecia', 'ano trabajo', 'sueldo', 'reparacion', 'profesional', 'perdi', 'millón', 'medico', 'vacación', 'ayuda', 'demanda', 'retiro', 'soldado profesional', 'docente', 'vivienda']","['pension', 'pensionado', 'pensionar', 'soldado profesional', 'organizacion publica', 'administrativo', 'trabaje ano', 'ano trabajo', 'ano trabajar', 'reconocimiento']","['pension', 'pensionar', 'pensionado', 'empresa', 'colombia', 'salario minimo', 'ano trabajo', 'medico', 'vacación', 'soldado profesional']","['pension', 'pensionar', 'pensionado', 'empresa', 'salario', 'laboral', 'minimo', 'trabajador', 'sindicato', 'colombia']","['bajo salimos meta encrudecio guerra dio dar bajo baja dio empecir disminuir constancia fisico dolor sentia columna cabezo sueno sueno podia dormir vivia despierto desesperar sali junto medico laboral entender retiro junto medico dio salgo fecha salgo pensionado incapacidad acorda pension entender ofrecer pension llegar resolucion pension dar llegar resolucion pension sali entender sali resolucion pension llegar bajo salgo venir liquidacion compro moto fecha salir asunto medico ejercito senor', 'pension pension trabajabamos lograr comprar casa dinero ahorrado lograr comprar pagar arreir casa ayuda ayuda tremendo rabiecito companero pensión alto rabia familiar podidir pensionar pension murio peso terminar pension bajitar injusto dano patrimonial previsto pensar persona salir conocer afuero llegar edad ano trabajado contrato seguir trabajar llegar punto trabajar pension europa faltar bienestar minimo americo latino injusto demando accion ministerio accion administrativo ministerio', 'base cuidar veredo companero lenguaje mosca alambre companerar venir pasar companera venir companero seguro llegar companera llegar miedo miedo miedo usar hacer yo truncar proyecto vida colombia truncar organizacion regresado ir prestamo pension pension austria pension austria dar credito pension quitar plata colombiano discutir gerente banco credito plata pension quitar plata austriaco colombiano vivo vivo trabajo hacer austria hacer trabajo pension desafortunadamente medio pension austriaco']"
32,242,32_patriotico_union_union patriotico_patriotica,"['patriotico', 'union', 'union patriotico', 'patriotica', 'union patriotica', 'up', 'dirigente', 'comunista', 'concejal', 'liberal', 'partido comunista', 'marcha patriotico', 'movimiento', 'elegido', 'electoral', 'marcha', 'elección', 'militante', 'alianza', 'exterminio', 'conservador', 'candidato', 'concejo', 'genocidio', 'persecucion', 'asesinado', 'voto', 'sindical', 'movimiento politico', 'partido liberal']","['union patriotico', 'union patriotica', 'patriotico', 'patriotica', 'marcha patriotico', 'movimiento politico', 'nivel nacional', 'partido comunista', 'matar conocido', 'union']","['patriotico', 'union', 'union patriotico', 'patriotica', 'union patriotica', 'marcha patriotico', 'electoral', 'militante', 'movimiento politico', 'partido liberal']","['patriotico', 'union', 'patriotica', 'dirigente', 'comunista', 'concejal', 'liberal', 'movimiento', 'elegido', 'electoral']","['hombre interpretar muerte izquierdo muerte duro doloroso creerio momento corto impulso traia union patriotico motivo union patriotico siguiero viva siguiero vivo mandatario seguir asesinato hombre queselectivo selectivo guerra declarado union patriotico diezmar trayectoria union patriotico praticamente union patriotico desaparecer nivel nacional bernardo jaramillo corto alas union patriotica union patriotica siguio viva siguio trabajar momentico pierda continuidad simplemente soler fragmentar', 'proponer vivo proposito creeria reparador union patriotico partido comunista momento momento vivir acto reconocimiento union patriotico compromiso reglamente fondo hablar actor comprometido conflicto habar buscar mecanismo encontrar desarrollo compromiso preocupar union patriotico problema necesitar encuentro potencial compromiso jugamo papel fuerza jugar papel momento caso union patriotico siento interior union patriotico deberio tenersele espacio reconociblemente personerio juridico buscar', 'llamar conocido conocido ideologia loa union patriotico conformar union patriotico union patriotico conformar tomar él jue salio union patriotico jue politico tocar nojotro salir votar votación municipio votar union patriotico mundo vota union patriotica entoes union patriotico tar hablar rato conocido alcalde montar fulano alcalde mundo nojotros cedular cedula filo gente cedular cedula cedula llevar pueblo embarcacion venir votar fulano votar union patriotico lideres montar union patriotico']"
33,161,33_sindicato_sindical_sindicalista_sindicalismo,"['sindicato', 'sindical', 'sindicalista', 'sindicalismo', 'movimiento sindical', 'trabajador', 'directivo', 'dirigente sindical', 'movimiento', 'dirigente', 'sindicato sindicato', 'afiliado', 'luchar', 'persecucion', 'eee', 'huelga', 'up', 'periodo', 'organizacion sindical', 'inf', 'convencion', 'despedido', 'base', 'antioquia', 'organizacion privado', 'asamblea', 'empresa', 'asesinado', 'junto directivo', 'pelear']","['movimiento sindical', 'organizacion sindical', 'sindicato sindicato', 'sindicato', 'sindicalismo', 'sindicalista', 'sindical', 'organizacion privado', 'dirigente sindical', 'organización']","['sindicato', 'sindical', 'sindicalista', 'sindicalismo', 'movimiento sindical', 'dirigente sindical', 'sindicato sindicato', 'afiliado', 'organizacion sindical', 'empresa']","['sindicato', 'sindical', 'sindicalista', 'sindicalismo', 'trabajador', 'directivo', 'movimiento', 'dirigente', 'afiliado', 'persecucion']","['sindical organizacion privada comence sindicato organizacion publicar actividad sindical activista dirigente norte santander trabajar trabajo desempenar inf mecanico mantenimiento inicio actividad sindical momento organizacion social particularidad sindicalista hombre mujer llegar sindicato formacion escuela inf forme vida teorico practica llegar dirigencia sindical subdirectivo posteriormente participar hombre subdirectivo evento sindicato conformado sindicato base organizacion publica', 'él detallar ano volver él retomar ahorita poder presentar naturaleza organizacion sindicato seguir empezar importante proceso estigmatizacion movimiento sindical presentar super clave entrar materia querer aportar fecha llegar companero sindicato sindicato afiliado utc sindicato afiliado utc llamar sindicato manejar directorio politico patronal sindicato trabajador entrar laborar empresa publica partido llevar politico entrabamos inclusive nomín empresa sal partido perteneciamo descontar sueldo', 'companero trabajo trabajador consagrado sacar tiempito empezo meter él sindicato inmediatamente inmediatamente enrolar él organizacion publica entrar sindicato activista afiliado empezar enterarse vincular él afecto trabajo organizacion sindical empezar involucrar él sindicato recuerdo momento vincular directamente sindicato trabajar sindicato organización popular estudiante campesino ingresar sindicato empezar vincular sindicato nombre sindicato representar trabajar organización critica hacian']"
34,124,34_patio_pasillo_celda_abogado,"['patio', 'pasillo', 'celda', 'abogado', 'preso politico', 'trasladar', 'cuchillo', 'man', 'paraco', 'hijueputa', 'guardia', 'pegar', 'piso', 'visita', 'rango farc', 'juicio', 'palo', 'eln', 'bano', 'muro', 'organizar', 'cementerio', 'cuarto', 'pelea', 'jefe', 'abrir', 'grado', 'delito', 'llorar', 'quinto']","['patio', 'unidad militar', 'cementerio', 'preso politico', 'detencion', 'movimiento', 'publico', 'administracion', 'abrir puerta', 'piso']","['patio', 'pasillo', 'preso politico', 'hijueputa', 'guardia', 'piso', 'visita', 'rango farc', 'cementerio', 'cuarto']","['patio', 'pasillo', 'celda', 'abogado', 'cuchillo', 'man', 'paraco', 'guardia', 'piso', 'visita']","['quedar él gusto alguien hambrir mujer decision hombre mujer aceptar pedir respectivo permiso companerar tiempo permanencia recordar momento companero sometido malo trato castigo fuerte contar comienzo entrenamiento minutos bano lavar ropa presentado patio vestido presentado patio salir patio alistamo ropa llegar cano alcanzo tiempo incluyo ultimito llegar formacion quedamo llegar mandar patio vestidito unico mudo ropa seco mandar patio entrenamiento poner vuelta patio mandar formar centro patio', 'salir mes mes asesinado conocido conocido preso escupio car grado general yegua paro puerta salida empezar fusil apuntar tacazo barrigo afuero culatazo nalguir ropa interior conocido escupio cogen trillo hijueputa pegar trilla verraco resultar gente patio quinto sexto paraco cuarto patio intermedio aislado patio servia patio mandar paraco infiltrado man patio aislado muro bajito alto muro plan visita sabado meter él granada patio acabar visita momento cerrar reja quedabar patio aislado patio', 'comunal labor departamento titular desmantelado desmantelado cuadrilla guerrillero eln ideologo capturados ideologo fulano duro duro mes inicialmente enviarme patio guerrilla eln supuestamente patio comandant patio numero abogado hombre imaginatar defender mandar patio guerrilla intervenir gestiono cambiar patio mandar patio funcionario publico resultar policia militar fiscal paramilitar obstante patio paramilitar trasladar noche noche llevar mundo brazo cruzado saludo responder absolutamente']"
35,110,35_edo_doc_si_poque,"['edo', 'doc', 'si', 'poque', 'ser', 'claro', 'cerdo', 'mami', 'pie', 'conservador', 'huy', 'ma', 'mijo', 'comunismo', 'vaín', 'nacio', 'espós', 'ahh', 'verraco', 'inaud', 'naci', 'compre', 'rango farc', 'abierto', 'hijuemadre', 'bala', 'sano', 'camino', 'vecino', 'jui']","['consentimiento informado', 'edo', 'informado', 'preparado', 'llamar conocido', 'cundinamarca', 'seminario', 'doc', 'organizo', 'abierto']","['edo', 'ser', 'mami', 'pie', 'comunismo', 'nacio', 'rango farc', 'abierto', 'sano', 'camino']","['edo', 'poque', 'claro', 'cerdo', 'mami', 'pie', 'conservador', 'huy', 'mijo', 'comunismo']","['vi echar _ doc _ _ interrup bala _ edo bala cós machete gente llevar llevar entregar justicia tiempo hablar _ doc _ _ menos _ edo arribito _ doc _ _ interrup _ edo nacido conoci pelea pelea verla puro sardinito _ doc _ _ si _ edo avispado tiempo _ doc _ _ risa cultivar epoco _ edo comida sembrar yuca arracacho frijol tomate arveja platano cafemalangay llamar chonque _ doc _ _ interrup ser _ edo malangay mata llaman malangay _ doc _ _ no senor _ edo rico _ doc _ _ interrup fruta _ edo semilla', 'calladitica _ doc _ volvio o _ edo montar entrego chino resolvio saco valor vo él venir batallon echar mano casa _ doc _ _ que edad el _ edo chino joven edo anos edo anos _ doc _ _ ninito _ edo ganar escopeto risa edo companera edo companera _ doc _ _ si _ edo _ doc _ intentar reclutar hijo _ edo hijo comprometia feo veniar comprometiar ejemplo _ doc _ _ interrup mirara _ edo mirara hijo estudiar fondo fondo mirar tocar _ doc _ _ pero haciar grupo campanero _ edo enferme rodilla _ doc _ _ si _', '_ doc _ _ el ese _ edo calibre peinilla edo peinilla _ doc _ _ aahh _ _ no sabio calibre risa _ _ mire aprender cosa _ edo llegar almacir favor vender peinilla _ doc _ _ mmm mire sabio _ edo edo _ doc _ grueso hoja _ edo larguro hoja _ doc _ _ aahh ya _ edo llega pedir peinilla numero alcanzar _ doc _ _ mmmm _ edo guerrillero peinillita cortico ver cintura distincion guerrillero ejercito vestuario _ doc _ _ interrup igual _ edo despistar enemigo _ doc _ _ claro _ edo ver despiste _ doc _ _ si']"
36,107,36_enfermedad_azucar_enfermo_medico,"['enfermedad', 'azucar', 'enfermo', 'medico', 'dolor', 'tension', 'hospital', 'depresion', 'parar', 'dolor cabeza', 'estr', 'estomago', 'medicamento', 'emocional', 'relato', 'dolia', 'minutico', 'ayuda', 'cuyo', 'tocado', 'corazon', 'muchisimo', 'afectación', 'sueno', 'hermana', 'tratamiento', 'bano', 'llorar', 'cortar', 'fisico']","['medicamento', 'alimentacion', 'afectación', 'depresion', 'tratamiento', 'medico', 'paciente', 'sistema', 'vacación', 'examen']","['azucar', 'medico', 'tension', 'hospital', 'depresion', 'dolor cabeza', 'medicamento', 'dolia', 'tocado', 'tratamiento']","['enfermedad', 'enfermo', 'medico', 'dolor', 'tension', 'hospital', 'dolor cabeza', 'estr', 'estomago', 'medicamento']","['podia peligroso llegar matar ejemplo poder salir hora salir noche parque cambiar vida salud ver afectado enfermedad adquirido paso tiempo cogi diabet puro alteramiento sistema nervioso sistema nervioso esposo enfermo hijos enfermo hijo enfermo fiebre dolor cabeza querer él dementizar nervio enfermedad permanezca ahorito tratamiento familia unir problema generado conflicto armado alejar él paso relaciones familia parejo tocar esposo miedo quedar momento ano ano lugar mantener cauca mantener', 'sobrina mama enfermo subio azucar cometer error grandisimo verir azucar medico explicar mama poner él insulina manán segui poner él comer bajar azucar cosa experiencia fuerza tocar afectación quedado tomar afectación emocional afectación fisica ejemplo cuestion escuchamo ver soltamos estomago horrible salir corazon ejemplo mirar ejemplo pelea miedo sobrín practicamente hija muchisimo tiempo tocar ano demoro volver camita dejar camo despertar mami cosa horrible cuestion psicologico orinar cama', 'ahorita comentado creer papa matar epocar asesinar profesor asesinar profesor momento reunion casa profesor tomar él tinto senoro consecuencia negativo traer hecho violencia negativo emocional fisico salud salud salud raiz sufrio raiz dirio enfermo subio dolor cabeza fuerte consecuencia cosa hospitalizado dolor cabeza descubrar presion subir elevar azucar raiz conflicto comenzo subir presion azucar disparo declarar diabetica hipertenso control mes control tratamiento més control medico hijo']"
37,83,37_covid_enfermedad_convenir_pandemia,"['covid', 'enfermedad', 'convenir', 'pandemia', 'vih', 'examen', 'contaminado', 'responsabilidad', 'país', 'colombia', 'prevenir', 'medico', 'tratamiento', 'demostrar', 'humano', 'evolucionar', 'vacunar', 'empanada', 'enferme', 'paludismo', 'nota', 'maximo', 'levantar', 'vacuna', 'infeccion', 'persona morir', 'espana', 'artesania', 'indigén', 'exploto']","['covid', 'consecuencia', 'reaccionar', 'positivo', 'reaccion', 'responsabilidad', 'enfermedad', 'sobreviviente', 'intencion', 'tratamiento']","['covid', 'enfermedad', 'pandemia', 'examen', 'contaminado', 'responsabilidad', 'colombia', 'medico', 'tratamiento', 'vacuna']","['enfermedad', 'pandemia', 'examen', 'contaminado', 'responsabilidad', 'país', 'colombia', 'medico', 'tratamiento', 'humano']","['convenir enfermedad convenir oye escuchen mundo poner atencion escuchen mundo poner atencion covid colombia chino exploto covid colombia chino exploto ay covid ay covid venir ay covid ay covid venir enfermedad convenir enfermedad convenir covid colombia chino exploto covid colombia chino exploto país gente contagio país gente contagio ay covid ay covid venir ay covid ay covid venir enfermedad convenir enfermedad convenir rezo dios bendiga poquito rezo dios bendiga poquito covid llegar fuerte', 'rezo dios bendiga poquito covid llegar fuerte acabar todito covid llegar fuerte acabar todito ay covid ay covid venir ay covid ay covid venir enfermedad convenir enfermedad convenir hermano hermano gente contagiar dar él mano gente contagiar dar él mano ay covid ay covid venir ay covid ay covid venir enfermedad convenir enfermedad convenir colombia alrededor colombia alrededor venir fuerte colombia alrededor pandemia venir fuerte empresa obro paro pandemia venir fuerte empresa obro paro ay', 'paro pandemia venir fuerte empresa obro paro ay covid ay covid venir ay covid ay covid venir enfermedad convenir enfermedad convenir salud poner malo casa colombia lloro plata poner casa colombia lloro ay covid ay covid venir ay covid ay covid venir enfermedad convenir enfermedad convenir muchacha proteger él muchacha proteger él poner él tapaboca jabon poner él tapaboca jabon ay covid ay covid venir ay covid ay covid venir enfermedad convenir enfermedad convenir aplauso pedir aplauso pedir']"
38,76,38_central_ambiental_construccion_pequena,"['central', 'ambiental', 'construccion', 'pequena', 'rio', 'compensacion', 'firma', 'empresa', 'oriente', 'grupo familiar', 'energia', 'fuente', 'carbon', 'organizacion privado', 'convenio', 'maquina', 'municipal', 'protegido', 'comunidad campesino', 'advertir', 'presencia', 'propiedad', 'minero', 'energiar', 'departamental', 'desarrollo', 'cuidar', 'alcaldia', 'emisora', 'tapar']","['organizacion publica', 'organizacion privado', 'constitucion', 'administracion', 'comunidad campesino', 'estigmatizacion', 'ambiente', 'ambiental', 'explotacion', 'especialmente']","['ambiental', 'rio', 'compensacion', 'empresa', 'carbon', 'organizacion privado', 'maquina', 'municipal', 'minero', 'emisora']","['central', 'ambiental', 'construccion', 'pequena', 'rio', 'compensacion', 'firma', 'empresa', 'oriente', 'energia']","['organizacion social avanzar afiliacion campesino retroceder posibilidad coordinar municipio especialmente sucedio toma posicion frente central hidroelectrica ejemplo organizacion social organizacion social votar posicion exigir compensacion social ambiental plan mitigacion ambiental estudio mitigacion ambiental compensacion social ambiental estudio impacto ambiental organizacion social organizacion social municipio central hidroelectricas cabo proceso concertacion comunidad campesino mitigacion', 'pequena central hidroelectrico empezar politico empezar dar él contrato comprarlo permitir comunidad vereda aceptar proyecto pequena central hidroelectrica momento ano diagnostico alcaldio registro proyecto pch pequena central hidroelectrico municipio genova proyecto posible queriar municipio genova pequena central hidroelectrica momento presion organización ambiental quindio parecer proyecto parecer termino concreto parar fondo puerta abierto revisa plan desarrollo departamental proyecto', 'autonoma regional valle cauca cvc juez proyecto construccion central hidroelectrico central hidroelectrica gente demandar licencia ambiental hecho cvc juez juzgar comunidad mire impactar cvc cosa cvc defensorio pueblo personeria accion estatal evitar comunidad campesino sufrir impacto social ambiental serio construccion central hidroelectrica punto plan compensacion social ambiental establecer epsa comunidad ejecutado pasar ano inicio construccion central hidroelectrica cambio estigmatizacion']"
39,71,39_bullying_pegar_marico_profesor,"['bullying', 'pegar', 'marico', 'profesor', 'burlar', 'nina', 'episodio', 'chico', 'ingl', 'hermana', 'marica', 'volvi', 'nín', 'idioma', 'cumpleano', 'dolor', 'septimo', 'devolvi', 'sufri', 'chica', 'vulneracion', 'sentiar', 'mamito', 'demandar', 'maltrato', 'gay', 'lgtbi', 'esquina', 'aguante', 'rapido']","['bullying', 'vulneracion', 'traumatico', 'hablar espanol', 'hacer caso', 'queria', 'encerrado', 'veia', 'burlar', 'sentia']","['bullying', 'profesor', 'burlar', 'nina', 'marica', 'idioma', 'devolvi', 'vulneracion', 'sentiar', 'gay']","['bullying', 'marico', 'profesor', 'burlar', 'nina', 'episodio', 'chico', 'hermana', 'volvi', 'nín']","['mama impulso despreciar sabia empezo hacian _ bullying _ impulso suicidarme profesorar cogio abrazo fuerte llorar termino hablar companero dejar escuchar siquiera llamar mama proceso mama mama entero llegar llegar extremo hacian deje sexto institucion educativo hacian _ bullying _ pasar ano instante _ bullying _ todopero acostumbrar ano mamar homosexual mama sentia nudo garganta gana decir él dar miedo despreciara hacer cosa epoco escuchar echar persona asesinar despreciar miedo mama hacer', 'felicidad mamar gallo chist companero jugar futbol jugabamos parqu jugabamos yebar cheverar amigo andar parte colegio bullying empujar buscar pelea dejar quieto querer peliar mama pensar mentira sacar colegio mama bullying pegar colegio sabio bullying bullying mama pegar colegio noo llegar pelao empujar pegar patado pierna gustar problema papar enseno humilde muchacho sento patado pierna llorar pegar yo correr llegar mama aguanto llegar casa llorar perdoneme palabra risa hijueputa provocar', 'trasplantado rinon alcance donar rinon hija enfermo enferme mala recibo tratamiento atencion medica preguntar tema educacion salud nieta educacion pesimo nín conte psiquiatrio bullying maestra tremendo manejo palabra bullying bullying victimo bullying manejar nina educacion siquiera agrado deseducacion educacion salud salud mundo afiliar él pagar monte salud pagar él pagar costarricense atencion inclusive extranjero costarricense visto correr verguenza costarricense salud pondrio jama salud']"
40,64,40_canon_masacre_ametralladora_afro,"['canon', 'masacre', 'ametralladora', 'afro', 'soldado', 'tiro', 'grado', 'combate', 'indigena afro', 'cuota', 'paramo', 'unidad militar', 'atractivo', 'decidir', 'grupo paramilitar', 'especial', 'capturar', 'joven', 'fila', 'fusil', 'abril', 'crio', 'desplazo', 'operacion', 'responder', 'militar ejercito', 'santisimo', 'sentia', 'apto', 'armar']","['canon', 'militar ejercito', 'unidad militar', 'interés economico', 'esquema seguridad', 'economicamente', 'pico', 'operacion', 'significar', 'saludo']","['canon', 'afro', 'combate', 'indigena afro', 'unidad militar', 'atractivo', 'capturar', 'militar ejercito', 'santisimo', 'armar']","['canon', 'masacre', 'ametralladora', 'afro', 'soldado', 'tiro', 'grado', 'combate', 'cuota', 'atractivo']","['cosa ocurrir fuente entrevistar plan conocido refiero interés politico interés economico región region militarizar militarizacion selva municipio entender proyecto militarizacion región acompanamiento paramilitarismo normalmente canon anaime libre paramilitarismo canon anaime ano pico geograficamente lucha campesino region venir ano pico asentar familia empezar proyecto bonito historia canon anaime termino gente mirado colectivo llamar propietario parcelero proyecto colectivo ejemplo ejemplo', 'masivo agosto producir desplazamiento persona lugar llevar preso decena persona recordar decena reportar monton llevar persona querer detener saber listo zona producir nivel desplazamiento venir masacr masacre gente seguia salir region canon anaime canon anaime epocar recuento canon anaime canon anaime nacio organizacion campesino ofrecer él campesino conocer historia contextualizar buenisimo apuntir olvidar recordar yo cosita relacionado tema detención masivo investigacion territorial abordar', 'tolimo esperame hablaste detención masivo interés politico desestabilizar organización lider detencion persecucion interés economico hablaste cerrar tema olvidar ejemplo tema canon anaime discurso uribir prestar él atencion canon anaime presidente hablado prestar especial atencion canon anaime discurso curioso atencion canon anaime producir detencion masivo agosto masacre noviembre masacre abril atencion canon anaime vivio gente echado mano zona rico recurso logrado objetivo apoderar él canon']"
41,61,41_chocolate_cacao_arroz_sembrar,"['chocolate', 'cacao', 'arroz', 'sembrar', 'desayuno', 'platano', 'pan', 'pescado', 'caucho', 'precio', 'aguacate', 'leche', 'huevo', 'cafe', 'conseguia', 'cultivo', 'sistema', 'caldo', 'mata', 'escopeto', 'arepa', 'tinto', 'aceite', 'alimento', 'libra', 'miel', 'produccion', 'maiz', 'polvo', 'cultivar']","['chocolate', 'cacao', 'chontaduro', 'pagar impuesto', 'producto', 'cafe', 'emprendimiento', 'sucesivamente', 'precio', 'impuesto']","['chocolate', 'cacao', 'pan', 'precio', 'huevo', 'cafe', 'sistema', 'tinto', 'produccion', 'cultivar']","['chocolate', 'cacao', 'arroz', 'desayuno', 'platano', 'pan', 'pescado', 'caucho', 'precio', 'leche']","['defensa derechos mujer tran empezar muerte hermán llevar apellido revindicar sector nacimos inter transformar practica institucional costar vida seguir costar vida ciento companera poder él lograr convencido palabra superar tema crear estrategia inicio ano llamar chocolate pan palabra chocolate pan palabro invitacion haciamos companera tomarar chocolate pan decir hablar pasar poder junto entender entendido imposible empezar construir sororidad alimento madre cisgenero ensenar alimento convocar', 'rabia lleno rabia municipio volver pedir renovar contratico diita trabajo llevar tampico salchicha vencido paquet entero ma ver comamono ay mijo vencido ma comamonos comi aguapanelar mo amiga queír panelar chocolate unico gusta comida comida mandir nina pequena pequén traer panelar chocolate amigo libra panelar poquito chocolate polvo chocolate acuestese acuestese llevar camo pidio platano verde pedacito poner patacon quedar echar chocolate perdio esposo familiar lén amigo vecino vino noche', 'chocolate dar chocolate persona morir venio conferencia encontro persona siquiera imaginar acordar chocolate chocolate persona sobrevivio cosa efectivamente transgeneracionalidad transmision efectivamente intergeneracional refugio intercultural multicultural riqueza enorme cofrir información reestructurar persona familia sociedad comunidad fundamental trabajo importante terminado agradecer profundamente comision testimonio valor incalculable traido aportado aporta construir elemento momento']"
